2021-09-17 11:44:40,332 ERROR Could not find element by: By.Name: email
2021-09-17 11:44:40,959 ERROR Could not find element by: By.Name: email
2021-09-17 11:44:41,644 ERROR Could not find element by: By.Name: email
2021-09-17 11:44:42,310 ERROR Could not find element by: By.Name: email
2021-09-17 11:44:43,043 ERROR Could not find element by: By.Name: email
2021-09-17 11:44:43,668 ERROR Could not find element by: By.Name: email
2021-09-17 11:44:44,388 ERROR Could not find element by: By.Name: email
2021-09-17 11:44:45,517 ERROR Could not find element by: By.Name: email
2021-09-17 11:44:46,250 ERROR Could not find element by: By.Name: email
2021-09-17 11:44:47,002 ERROR Could not find element by: By.Name: email
2021-09-17 11:44:47,743 ERROR Could not find element by: By.Name: email
2021-09-17 11:44:48,581 ERROR Could not find element by: By.Name: email
2021-09-17 11:44:49,302 ERROR Could not find element by: By.Name: email
2021-09-17 11:44:50,116 ERROR Could not find element by: By.Name: email
2021-09-17 11:44:50,802 ERROR Could not find element by: By.Name: email
2021-09-17 11:44:51,484 ERROR Could not find element by: By.Name: email
2021-09-17 11:44:52,143 ERROR Could not find element by: By.Name: email
2021-09-17 11:44:52,951 ERROR Could not find element by: By.Name: email
2021-09-17 11:44:53,629 ERROR Could not find element by: By.Name: email
2021-09-17 11:44:54,397 ERROR Could not find element by: By.Name: email
2021-09-17 11:44:55,202 ERROR Could not find element by: By.Name: email
2021-09-17 11:44:55,977 ERROR Could not find element by: By.Name: email
2021-09-17 11:44:56,667 ERROR Could not find element by: By.Name: email
2021-09-17 11:44:57,380 ERROR Could not find element by: By.Name: email
2021-09-17 11:44:58,104 ERROR Could not find element by: By.Name: email
2021-09-17 11:46:11,324 INFO Launching browser
2021-09-17 11:46:16,014 INFO Exit
2021-09-17 11:46:25,086 INFO Logged Suucessfully
2021-09-17 11:46:27,997 ERROR Exception has been thrown by the target of an invocation.
2021-09-17 11:46:29,387 ERROR Could not find element by: By.Name: email
2021-09-17 11:46:30,268 ERROR Could not find element by: By.Name: email
2021-09-17 11:46:31,229 ERROR Could not find element by: By.Name: email
2021-09-17 11:46:31,944 ERROR Could not find element by: By.Name: email
2021-09-17 11:46:32,745 ERROR Could not find element by: By.Name: email
2021-09-17 11:46:33,508 ERROR Could not find element by: By.Name: email
2021-09-17 11:46:37,871 ERROR chrome not reachable
  (Session info: chrome=93.0.4577.82)
2021-09-17 11:46:50,088 ERROR chrome not reachable
  (Session info: chrome=93.0.4577.82)
2021-09-17 11:48:50,411 INFO Launching browser
2021-09-17 11:48:55,586 INFO Exit
2021-09-17 11:49:19,411 INFO Logged Suucessfully
2021-09-17 11:49:19,549 ERROR Exception has been thrown by the target of an invocation.
2021-09-17 11:49:21,030 ERROR Could not find element by: By.Name: email
2021-09-17 11:49:21,793 ERROR Could not find element by: By.Name: email
2021-09-17 11:49:22,548 ERROR Could not find element by: By.Name: email
2021-09-17 11:49:23,371 ERROR Could not find element by: By.Name: email
2021-09-17 11:49:24,057 ERROR Could not find element by: By.Name: email
2021-09-17 11:49:24,735 ERROR Could not find element by: By.Name: email
2021-09-17 11:49:25,352 ERROR Non-static method requires a target.
2021-09-17 11:49:25,395 ERROR no such window: target window already closed
from unknown error: web view not found
  (Session info: chrome=93.0.4577.82)
2021-09-17 11:49:25,405 ERROR no such window: target window already closed
from unknown error: web view not found
  (Session info: chrome=93.0.4577.82)
2021-09-17 11:49:25,465 ERROR no such window: target window already closed
from unknown error: web view not found
  (Session info: chrome=93.0.4577.82)
2021-09-17 11:49:25,482 ERROR no such window: target window already closed
from unknown error: web view not found
  (Session info: chrome=93.0.4577.82)
2021-09-17 11:49:25,487 ERROR no such window: target window already closed
from unknown error: web view not found
  (Session info: chrome=93.0.4577.82)
2021-09-17 11:49:25,497 ERROR no such window: target window already closed
from unknown error: web view not found
  (Session info: chrome=93.0.4577.82)
2021-09-17 11:49:25,501 ERROR no such window: target window already closed
from unknown error: web view not found
  (Session info: chrome=93.0.4577.82)
2021-09-17 11:49:25,507 ERROR no such window: target window already closed
from unknown error: web view not found
  (Session info: chrome=93.0.4577.82)
2021-09-17 11:49:25,513 ERROR no such window: target window already closed
from unknown error: web view not found
  (Session info: chrome=93.0.4577.82)
2021-09-17 11:49:25,517 ERROR no such window: target window already closed
from unknown error: web view not found
  (Session info: chrome=93.0.4577.82)
2021-09-17 11:49:25,530 ERROR no such window: target window already closed
from unknown error: web view not found
  (Session info: chrome=93.0.4577.82)
2021-09-17 11:49:25,536 ERROR no such window: target window already closed
from unknown error: web view not found
  (Session info: chrome=93.0.4577.82)
2021-09-17 11:49:25,540 ERROR no such window: target window already closed
from unknown error: web view not found
  (Session info: chrome=93.0.4577.82)
2021-09-17 11:49:25,545 ERROR no such window: target window already closed
from unknown error: web view not found
  (Session info: chrome=93.0.4577.82)
2021-09-17 11:49:25,552 ERROR no such window: target window already closed
from unknown error: web view not found
  (Session info: chrome=93.0.4577.82)
2021-09-17 11:49:25,558 ERROR no such window: target window already closed
from unknown error: web view not found
  (Session info: chrome=93.0.4577.82)
2021-09-17 11:49:25,563 ERROR no such window: target window already closed
from unknown error: web view not found
  (Session info: chrome=93.0.4577.82)
2021-09-17 11:49:25,573 ERROR no such window: target window already closed
from unknown error: web view not found
  (Session info: chrome=93.0.4577.82)
